income,age,sex,employment,education
22000,24,Male,Employee of a private for profit,no high school diploma
21000,31,Female,Private not-for-profit employee,"some college credit, no degree"
25800,26,Female,Employee of a private for profit,"some college credit, no degree"
25000,27,Female,Employee of a private for profit,Bachelor's degree
20200,27,Female,Private not-for-profit employee,"some college credit, no degree"
36000,47,Male,Employee of a private for profit,Regular high school diploma
20000,24,Male,Employee of a private for profit,no high school diploma
30000,41,Male,Employee of a private for profit,no high school diploma
23000,43,Female,Employee of a private for profit,Bachelor's degree
5000,21,Female,Employee of a private for profit,Regular high school diploma
6600,29,Male,Self employed not incorporated,no high school diploma
45000,30,Female,Employee of a private for profit,Associate's degree
50000,28,Male,Local government employee,"some college credit, no degree"
38000,43,Female,Private not-for-profit employee,"some college credit, no degree"
60000,35,Male,Self employed not incorporated,no high school diploma
52100,27,Female,State government employee,Professional degree
78000,25,Male,Federal government employee,GED or alternative credential
6400,38,Female,Private not-for-profit employee,Regular high school diploma
30000,27,Male,Employee of a private for profit,"some college credit, no degree"
82600,42,Male,Employee of a private for profit,"some college credit, no degree"
35000,44,Female,Local government employee,Associate's degree
60000,24,Male,Employee of a private for profit,"some college credit, no degree"
18000,50,Male,Employee of a private for profit,Regular high school diploma
6800,28,Male,Employee of a private for profit,GED or alternative credential
17000,30,Female,Employee of a private for profit,Associate's degree
50000,44,Female,State government employee,no high school diploma
25000,38,Female,Employee of a private for profit,"some college credit, no degree"
90000,41,Female,Employee of a private for profit,Bachelor's degree
50000,49,Female,Local government employee,Bachelor's degree
48000,42,Female,Private not-for-profit employee,Master's degree
62000,41,Male,Employee of a private for profit,"some college credit, no degree"
55000,42,Female,Local government employee,Master's degree
28000,45,Female,Employee of a private for profit,"some college credit, no degree"
23000,21,Female,Employee of a private for profit,Regular high school diploma
32000,40,Female,Private not-for-profit employee,Bachelor's degree
26900,33,Female,State government employee,Professional degree
25000,29,Male,Employee of a private for profit,Regular high school diploma
70000,41,Female,Local government employee,Master's degree
60000,37,Male,Employee of a private for profit,"some college credit, no degree"
34000,36,Male,Local government employee,"some college credit, no degree"
70000,39,Male,Employee of a private for profit,Doctorate degree
112800,45,Female,State government employee,Master's degree
39000,38,Female,Employee of a private for profit,Bachelor's degree
22100,28,Male,Employee of a private for profit,"some college credit, no degree"
70000,50,Male,Employee of a private for profit,Regular high school diploma
25000,25,Male,Federal government employee,"some college credit, no degree"
82000,33,Female,Employee of a private for profit,Master's degree
23200,26,Female,Employee of a private for profit,Regular high school diploma
85000,45,Male,Employee of a private for profit,Regular high school diploma
38000,32,Female,Local government employee,Master's degree
50000,41,Female,Local government employee,Master's degree
35000,26,Male,Employee of a private for profit,Regular high school diploma
35000,25,Female,Employee of a private for profit,Associate's degree
19000,41,Female,Employee of a private for profit,no high school diploma
20200,46,Female,Employee of a private for profit,Bachelor's degree
50000,40,Female,Employee of a private for profit,Associate's degree
33000,39,Female,State government employee,Bachelor's degree
10100,24,Male,Employee of a private for profit,Regular high school diploma
55000,49,Female,Employee of a private for profit,GED or alternative credential
52000,33,Male,Employee of a private for profit,Master's degree
30000,42,Female,Employee of a private for profit,Master's degree
16000,32,Male,Employee of a private for profit,"some college credit, no degree"
45000,46,Male,Self employed incorporated,"some college credit, no degree"
22000,35,Female,Employee of a private for profit,Associate's degree
70000,39,Male,Employee of a private for profit,Regular high school diploma
52000,49,Female,Employee of a private for profit,Regular high school diploma
37000,27,Female,Local government employee,Bachelor's degree
34000,29,Female,Employee of a private for profit,GED or alternative credential
40000,24,Female,Employee of a private for profit,Bachelor's degree
19000,37,Female,Employee of a private for profit,no high school diploma
22400,41,Female,Employee of a private for profit,Associate's degree
24000,41,Male,Employee of a private for profit,"some college credit, no degree"
40000,49,Male,Employee of a private for profit,"some college credit, no degree"
15140,33,Female,Employee of a private for profit,"some college credit, no degree"
6000,24,Male,Employee of a private for profit,"some college credit, no degree"
21800,24,Male,Employee of a private for profit,Master's degree
27000,49,Female,Employee of a private for profit,"some college credit, no degree"
17000,22,Male,Employee of a private for profit,Regular high school diploma
52000,28,Male,Employee of a private for profit,GED or alternative credential
65000,40,Male,Employee of a private for profit,Bachelor's degree
17000,38,Male,Employee of a private for profit,Regular high school diploma
54000,45,Male,Employee of a private for profit,Associate's degree
45000,30,Female,Employee of a private for profit,Professional degree
19200,47,Male,Employee of a private for profit,no high school diploma
31200,48,Female,Employee of a private for profit,Regular high school diploma
52000,21,Male,Employee of a private for profit,Regular high school diploma
14000,32,Female,Employee of a private for profit,Associate's degree
38000,35,Male,Local government employee,"some college credit, no degree"
20800,24,Male,Employee of a private for profit,"some college credit, no degree"
32300,49,Female,Employee of a private for profit,Regular high school diploma
24000,42,Female,Employee of a private for profit,Regular high school diploma
45000,32,Male,Employee of a private for profit,Regular high school diploma
64000,31,Female,Employee of a private for profit,Bachelor's degree
74000,39,Male,Employee of a private for profit,Bachelor's degree
45000,34,Male,Employee of a private for profit,"some college credit, no degree"
40000,30,Male,Employee of a private for profit,Regular high school diploma
52000,38,Male,Local government employee,Master's degree
38000,35,Female,Employee of a private for profit,Bachelor's degree
30000,39,Male,Employee of a private for profit,no high school diploma
43700,29,Male,Employee of a private for profit,"some college credit, no degree"
17000,22,Male,Employee of a private for profit,"some college credit, no degree"
25000,24,Female,Employee of a private for profit,Bachelor's degree
67000,49,Male,Employee of a private for profit,Bachelor's degree
38000,26,Male,Employee of a private for profit,Bachelor's degree
57000,33,Male,Local government employee,Regular high school diploma
80000,26,Male,Employee of a private for profit,Associate's degree
31000,43,Female,Private not-for-profit employee,Regular high school diploma
78000,37,Female,State government employee,Master's degree
24400,40,Female,Employee of a private for profit,no high school diploma
146004,48,Male,Self employed incorporated,Associate's degree
30000,46,Female,Employee of a private for profit,Regular high school diploma
28300,48,Female,Employee of a private for profit,"some college credit, no degree"
1100,29,Female,Employee of a private for profit,"some college credit, no degree"
20000,35,Female,Employee of a private for profit,Associate's degree
15000,30,Female,Employee of a private for profit,Associate's degree
25000,26,Female,Employee of a private for profit,"some college credit, no degree"
56000,25,Male,Employee of a private for profit,"some college credit, no degree"
104000,50,Male,Employee of a private for profit,"some college credit, no degree"
8540,26,Female,Employee of a private for profit,Regular high school diploma
49000,34,Male,State government employee,Doctorate degree
40000,36,Female,Private not-for-profit employee,Master's degree
35000,37,Male,Employee of a private for profit,Regular high school diploma
14000,36,Female,Employee of a private for profit,GED or alternative credential
40000,41,Male,Federal government employee,Regular high school diploma
46000,40,Male,Employee of a private for profit,"some college credit, no degree"
50000,29,Male,Employee of a private for profit,"some college credit, no degree"
47000,42,Male,Employee of a private for profit,Regular high school diploma
38000,41,Male,Employee of a private for profit,Associate's degree
40000,30,Male,Employee of a private for profit,no high school diploma
120020,34,Male,Employee of a private for profit,Master's degree
30000,30,Female,State government employee,Master's degree
20000,22,Female,Employee of a private for profit,Regular high school diploma
13200,31,Female,Employee of a private for profit,"some college credit, no degree"
59000,27,Female,Employee of a private for profit,Doctorate degree
62000,41,Female,Employee of a private for profit,Bachelor's degree
20000,38,Female,Employee of a private for profit,"some college credit, no degree"
55050,45,Male,Self employed incorporated,Bachelor's degree
124000,47,Male,Employee of a private for profit,Bachelor's degree
3800,24,Female,Federal government employee,"some college credit, no degree"
18000,32,Female,Employee of a private for profit,Bachelor's degree
17000,26,Male,Employee of a private for profit,no high school diploma
125000,36,Male,Employee of a private for profit,Bachelor's degree
2000,23,Male,Employee of a private for profit,no high school diploma
20000,39,Male,Employee of a private for profit,Regular high school diploma
23000,29,Female,Employee of a private for profit,Bachelor's degree
52400,48,Female,Self employed incorporated,Bachelor's degree
10400,26,Male,Employee of a private for profit,Regular high school diploma
120000,47,Female,Employee of a private for profit,"some college credit, no degree"
25700,32,Male,Employee of a private for profit,"some college credit, no degree"
18000,27,Male,Employee of a private for profit,"some college credit, no degree"
31200,37,Female,Local government employee,Associate's degree
38000,36,Female,State government employee,Regular high school diploma
11800,44,Male,Self employed not incorporated,Associate's degree
17000,37,Female,Employee of a private for profit,GED or alternative credential
25000,41,Male,Employee of a private for profit,no high school diploma
21100,34,Female,Employee of a private for profit,"some college credit, no degree"
21000,26,Female,Local government employee,"some college credit, no degree"
68000,46,Female,Employee of a private for profit,Master's degree
16500,46,Male,Employee of a private for profit,Regular high school diploma
31000,38,Female,Employee of a private for profit,Associate's degree
39000,34,Female,Employee of a private for profit,Bachelor's degree
36000,23,Female,Local government employee,Bachelor's degree
42800,34,Male,State government employee,Regular high school diploma
77000,23,Male,Employee of a private for profit,Bachelor's degree
85000,38,Male,Employee of a private for profit,Regular high school diploma
20000,27,Female,Local government employee,"some college credit, no degree"
25000,25,Female,Employee of a private for profit,"some college credit, no degree"
12000,47,Female,Employee of a private for profit,Regular high school diploma
12000,21,Male,Employee of a private for profit,Regular high school diploma
1100,28,Female,Employee of a private for profit,"some college credit, no degree"
50000,41,Male,Employee of a private for profit,Regular high school diploma
60200,50,Male,Employee of a private for profit,"some college credit, no degree"
40000,48,Male,Employee of a private for profit,Bachelor's degree
14400,20,Female,Employee of a private for profit,Regular high school diploma
50000,25,Male,Self employed incorporated,Bachelor's degree
60000,47,Male,Employee of a private for profit,Regular high school diploma
117000,45,Male,Federal government employee,Bachelor's degree
74000,44,Male,Employee of a private for profit,Regular high school diploma
20000,40,Female,Employee of a private for profit,no high school diploma
45000,36,Female,Private not-for-profit employee,Master's degree
28700,40,Male,Employee of a private for profit,no high school diploma
20400,25,Female,Federal government employee,"some college credit, no degree"
41600,40,Male,Employee of a private for profit,Regular high school diploma
9600,28,Male,Employee of a private for profit,GED or alternative credential
95000,47,Female,Employee of a private for profit,"some college credit, no degree"
58000,36,Female,Employee of a private for profit,"some college credit, no degree"
22000,29,Male,Employee of a private for profit,Associate's degree
36000,42,Female,Employee of a private for profit,"some college credit, no degree"
40200,42,Female,Local government employee,Master's degree
50000,36,Male,Federal government employee,"some college credit, no degree"
18000,25,Male,Employee of a private for profit,Regular high school diploma
75000,43,Male,Employee of a private for profit,no high school diploma
40000,32,Female,Private not-for-profit employee,GED or alternative credential
65000,46,Male,Employee of a private for profit,Regular high school diploma
36000,21,Male,Employee of a private for profit,Regular high school diploma
15000,42,Male,Employee of a private for profit,no high school diploma
89600,46,Male,Employee of a private for profit,Bachelor's degree
28800,34,Male,Employee of a private for profit,Regular high school diploma
18000,44,Female,Employee of a private for profit,Regular high school diploma
36000,39,Male,Employee of a private for profit,Master's degree
102000,45,Male,Employee of a private for profit,Bachelor's degree
50000,43,Male,Employee of a private for profit,no high school diploma
118200,47,Male,Employee of a private for profit,"some college credit, no degree"
16000,27,Male,Local government employee,Regular high school diploma
24000,39,Male,Employee of a private for profit,Regular high school diploma
48000,50,Male,Self employed not incorporated,"some college credit, no degree"
